# lists which metier to distribute catches on based on logbooks. these are specific to ICES areas
# list for WKNSSK
metier	REDSKAP_FAO	MASKEVIDDE	ICESarea	ICESareatype
OTB_CRU_16-31_0_0_all	TBS	25	27.3.a	Div
OTB_CRU_16-31_0_0_all	OTB	25	27.3.a	Div
OTB_CRU_16-31_0_0_all	TBS	30	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	35	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	35	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	36	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	40	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	42	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	46	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	50	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	36	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	PTB	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	40	27.3.a	Div
OTB_CRU_32-69_0_0_all	TB	40	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	42	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	50	27.3.a	Div
OTB_CRU_90-119_0_0_all	OTB	90	27.3.a	Div
OTB_CRU_90-119_0_0_all	TBN	90	27.3.a	Div
OTB_CRU_70-89_2_35_all	TBN	70	27.3.a	Div
MIS_MIS_0_0_0_HC	OTM	19	27.3.a	Div
MIS_MIS_0_0_0_HC	OTM	38	27.3.a	Div
MIS_MIS_0_0_0_HC	TM	24	27.3.a	Div
MIS_MIS_0_0_0_HC	TM	50	27.3.a	Div
MIS_MIS_0_0_0_HC	PS1	42	27.3.a	Div
MIS_MIS_0_0_0_HC	PS1	NON	27.3.a	Div
#
GNS_DEF_all_0_0_all	GEN	150	27.3.a.20	SubDiv
GNS_DEF_all_0_0_all	GEN	63	27.3.a.20	SubDiv
LLS_FIF_0_0_0_all	LL	NON	27.3.a.20	SubDiv
LLS_FIF_0_0_0_all	LLS	NON	27.3.a.20	SubDiv
SSC_DEF_>=120_0_0_all	SSC	120	27.3.a.20	SubDiv
SSC_DEF_>=120_0_0_all	SSC	126	27.3.a.20	SubDiv
SSC_DEF_>=120_0_0_all	SSC	135	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	OTB	120	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	OTB	130	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	OTB	135	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	PTB	125	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	TB	18	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	TBS	19	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	OTB	19	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	TBS	25	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	OTB	25	27.3.a.20	SubDiv
OTB_CRU_16-31_0_0_all	TBS	30	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	35	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	35	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	36	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	38	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	40	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	42	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	46	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TBS	50	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	36	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	38	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	PTB	38	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	40	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	TB	40	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	42	27.3.a.20	SubDiv
OTB_CRU_32-69_0_0_all	OTB	50	27.3.a.20	SubDiv
OTB_CRU_90-119_0_0_all	OTB	90	27.3.a.20	SubDiv
OTB_CRU_90-119_0_0_all	TBN	90	27.3.a.20	SubDiv
OTB_CRU_70-89_2_35_all	TBN	70	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	OTM	19	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	OTM	38	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	PS1	42	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	PS1	NON	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	TM	24	27.3.a.20	SubDiv
#
